Code,Klassifikator,Klassifikator_ru,Klassifikator_en,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1700,O'zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,15215.3,15470.3,15736.4,15999.5,16258.8,16544.9,16859.9,17180.5,17527.1,17896.3
1735,Qoraqalpog'iston Respublikasi,Республика Каракалпакстан,The Republic of Karakalpakstan,867.2,879.6,893.0,905.7,917.8,931.4,945.2,957.9,970.0,983.6
1735401,Nukus shahri,Город Нукус,Nukus city,150.7,153.1,154.2,156.0,157.7,159.7,161.8,163.9,166.3,169.1
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,88.2,89.7,91.4,92.8,94.2,96.1,98.1,99.3,100.9,102.8
1735207,Beruniy tumani,Берунийский район,Beruniy  district,85.0,86.6,88.3,89.9,91.5,93.4,95.3,96.9,98.3,100.1
1735209,Bo‘zatov tumani,Бозатовский район,Bo‘zatov district,0.0,0.0,0.0,0.0,0.0,0.0,10.6,10.7,10.7,10.8
1735211,Qorao‘zak tumani,Караузякский район,Qorao‘zak district,24.3,24.6,24.9,25.2,25.5,25.6,25.8,26.1,26.2,26.4
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,41.8,42.3,43.0,43.4,43.9,44.2,35.4,35.7,35.9,36.2
1735215,Qo‘ng‘irot tumani,Кунградский район,Qo‘ng‘irot district,58.5,59.4,60.3,61.0,61.8,62.5,63.3,64.1,64.6,65.5
1735218,Qanliko'l tumani,Канлыкульский район,Qanliko'l district,23.2,23.5,23.9,24.3,24.6,24.9,25.2,25.5,25.9,26.2
1735222,Mo‘ynoq tumani,Муйнакский район,Mo‘ynoq  district,14.4,14.6,14.8,15.0,15.2,15.4,15.6,15.9,16.3,16.5
1735225,Nukus tumani,Нукусский район,Nukus district,21.7,22.1,22.7,23.2,23.7,24.2,24.8,25.2,25.6,26.1
1735228,Taxiatosh tumani,Тахиаташский район,Taxiatosh district,0.0,0.0,0.0,0.0,36.3,36.7,37.2,37.7,38.1,38.5
1735230,Taxtako‘pir tumani,Тахтакупырский район,Taxtako‘pir district,19.1,19.1,19.3,19.4,19.5,19.6,19.7,19.9,20.0,19.1
1735233,To'rtko'l tumani,Турткульский район,To'rtko'l district,97.0,98.7,100.5,102.3,103.9,105.8,107.9,109.6,111.3,113.2
1735236,Xo‘jayli tumani,Ходжейлийский район,Xo‘jayli district,92.5,93.1,94.2,95.1,59.9,60.6,61.3,62.1,62.7,63.6
1735240,Chimboy tumani,Чимбайский район,Chimboy district,53.2,53.6,54.4,55.1,55.6,56.3,55.2,55.7,56.1,56.7
1735243,Shumanay tumani,Шуманайский район,Shumanay district,26.6,26.9,27.1,27.4,27.5,27.8,28.0,28.2,28.4,28.7
1735250,Ellikqala tumani,Элликкалинский район,Ellikqala district,71.0,72.3,74.0,75.6,77.0,78.6,80.0,81.4,82.7,84.1
1703,Andijon viloyati,Андижанская область,Andijan region,1390.4,1415.5,1441.2,1466.4,1490.3,1514.6,1544.2,1574.0,1605.9,1639.6
1703401,Andijon shahar,Город Андижан,Andijon city,202.2,205.3,208.0,210.5,213.2,215.7,219.5,223.5,227.6,232.3
1703408,Xonobod shahar,Город Ханабад,Xonobod  city,19.7,19.9,20.0,20.2,20.4,20.8,21.2,21.6,22.0,22.5
1703202,Oltinko'l tumani,Алтынкульский район,Oltinko'l  district,77.9,79.5,81.0,82.8,84.4,85.6,87.4,89.3,91.3,93.5
1703203,Andijon tumani,Андижанский район,Andijon district,115.2,117.5,120.5,123.2,125.5,128.2,131.0,133.6,137.0,140.2
1703206,Baliqchi tumani,Балыкчинский район,Baliqchi district,87.5,89.5,91.3,93.0,94.3,95.9,97.7,99.6,101.5,103.5
1703209,Bo'ston tumani,Бустанский район,Bo'ston district,31.7,32.4,32.9,33.5,34.2,34.7,35.4,36.2,37.0,37.7
1703210,Buloqboshi tumani,Булакбашинский район,Buloqboshi district,63.1,64.1,65.4,66.6,67.4,68.4,69.7,70.9,72.2,73.6
1703211,Jalаquduq tumani,Джалакудукский район,Jalаquduq district,83.0,84.3,85.7,87.1,88.1,89.4,90.7,92.2,93.9,95.7
1703214,Izboskan tumani,Избасканский район,Izboskan district,104.2,106.0,107.8,109.5,111.6,113.7,116.2,118.7,120.7,122.8
1703217,Ulug'nor tumani,Улугнорский район,Ulug'nor district,26.9,27.4,27.8,28.2,28.7,29.2,29.7,30.3,30.9,31.5
1703220,Qo'rg'ontepa tumani,Кургантепинский район,Qo'rg'ontepa district,95.7,97.3,99.3,101.1,102.8,104.5,106.6,108.3,110.1,112.1
1703224,Asaka tumani,Асакинский район,Asaka district,143.0,145.9,148.7,151.9,155.0,157.9,161.0,164.5,168.0,171.7
1703227,Marxamat tumani,Мархаматский район,Marxamat district,76.5,77.8,79.2,80.4,81.7,83.0,84.4,85.8,87.6,89.3
1703230,Shaxrixon tumani,Шахриханский район,Shaxrixon district,130.9,133.5,135.9,138.2,140.3,142.7,145.8,148.7,151.8,155.1
1703232,Paxtaobod tumani,Пахтаабадский район,Paxtaobod district,84.4,86.0,87.8,89.6,91.3,92.6,94.3,96.2,98.5,100.7
1703236,Xo'jaobod tumani,Ходжаабадский район,Xo'jaobod district,48.5,49.1,49.9,50.6,51.4,52.3,53.6,54.6,55.8,57.4
1706,Buxoro viloyati,Бухарская область,Bukhara region,880.4,894.1,908.3,921.8,934.6,946.5,960.4,971.9,986.4,1002.4
1706401,Buxoro shahar,Город Бухара,Buxoro city,138.4,138.7,139.0,139.4,139.4,139.9,141.0,141.5,142.9,145.7
1706403,Kogon shahar,Город Каган,Kogon city,30.3,30.4,30.7,30.8,31.0,31.2,31.4,31.5,32.0,32.7
1706204,Olot tumani,Aлатский район,Olot  district,44.9,45.6,46.4,47.1,47.7,48.6,49.4,50.0,50.6,51.3
1706207,Buxoro tumani,Бухарский район,Buxoro district,72.9,74.4,76.1,77.7,79.6,81.2,82.8,84.2,85.9,87.3
1706212,Vobkent tumani,Вабкентский район,Vobkent district,62.7,63.8,65.0,66.1,67.0,68.1,69.4,70.3,71.3,72.4
1706215,G'ijduvon tumani,Гиждуванский район,G'ijduvon district,136.9,139.4,141.8,144.5,146.2,146.4,148.4,150.3,152.5,154.9
1706219,Kogon tumani,Каганский район,Kogon district,34.2,35.0,35.9,36.6,37.6,38.5,39.4,40.1,40.8,41.6
1706230,Qorako'l tumani,Каракульский район,Qorako'l district,75.0,76.3,77.6,78.8,80.3,81.7,82.9,83.5,84.7,85.7
1706232,Qorovulbozor tumani,Караулбазарский район,Qorovulbozor district,8.3,8.5,8.7,8.8,9.0,9.1,9.2,9.3,9.6,9.8
1706240,Peshku tumani,Пешкунский  район,Peshku district,55.1,56.1,57.1,58.0,59.0,60.1,61.2,62.3,63.2,64.3
1706242,Romitan tumani,Ромитанский район,Romitan district,62.9,64.0,65.1,66.1,67.4,68.5,69.6,71.0,72.2,73.4
1706246,Jondor tumani,Жондорский район,Jondor  district,78.6,80.3,81.9,83.6,85.1,86.7,88.0,89.1,90.6,92.0
1706258,Shofirkon tumani,Шафирканский район,Shofirkon district,80.2,81.6,83.0,84.3,85.3,86.5,87.7,88.8,90.1,91.3
1708,Jizzax viloyati,Джизакская область,Jizzakh region,611.6,622.9,635.4,647.3,658.9,672.1,686.5,700.1,715.8,731.4
1708401,Jizzax shahar,Город Джизак,Jizzakh city,81.8,82.6,83.7,84.8,85.8,87.2,88.7,90.3,92.5,95.9
1708201,Arnasoy tuman,Арнасайский район,Arnasoy district,20.7,20.9,21.3,21.7,22.1,22.4,22.7,23.0,23.3,23.7
1708204,Baxmal tumani,Бахмальский район,Baxmal district,67.7,69.1,70.8,72.1,73.7,75.1,76.8,78.3,80.0,81.6
1708209,G'allaorol tumani,Галляаральский район,G'allaorol district,76.7,78.0,79.4,80.7,82.1,83.6,85.3,87.1,89.0,90.7
1708212,Sharof Rashidov tumani,Шараф-Рашидовский  район,Sharof Rashidov  district,93.7,96.1,98.3,100.7,102.9,106.0,109.1,111.9,115.0,117.1
1708215,Do'stlik tumani,Дустликский район,Do'stlik district,29.8,30.4,30.9,31.4,31.9,32.6,33.2,33.7,34.3,34.9
1708218,Zomin tumani,Зааминский район,Zomin district,79.7,81.0,82.6,84.0,77.9,79.4,81.2,82.6,84.8,86.6
1708220,Zarbdor tumani,Зарбдарский район,Zarbdor district,29.5,30.3,31.2,32.1,40.3,41.2,42.3,43.5,44.5,45.7
1708223,Mirzacho'l tumani,Мирзачульский район,Mirzacho'l district,22.8,23.3,23.9,24.4,25.1,25.7,26.3,26.9,27.2,27.7
1708225,Zafarobod tumani,Зафарабадский район,Zafarobod district,22.2,22.5,22.9,23.3,23.7,24.2,24.6,24.9,25.4,26.0
1708228,Paxtakor tumani,Пахтакорский район,Paxtakor district,33.0,33.7,34.3,35.0,35.5,36.1,36.8,37.5,38.4,39.2
1708235,Forish tumani,Фаришский район,Forish district,41.3,42.0,42.9,43.7,44.3,44.9,45.6,46.2,47.0,47.7
1708237,Yangiobod tumani,Янгиабадский район,Yangiobod district,12.7,13.0,13.2,13.4,13.6,13.7,13.9,14.2,14.4,14.6
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,1437.1,1467.4,1499.5,1530.0,1558.8,1589.2,1621.2,1647.9,1683.0,1718.6
1710401,Qarshi  shahar,Город Карши,Qarshi  city,127.8,129.2,130.6,132.4,134.1,135.4,137.4,139.2,141.5,144.3
1710405,Shahrisabz shahar,Город Шахрисабз,Shakhrisabz city,0.0,0.0,0.0,0.0,66.4,67.6,68.6,69.1,70.2,71.2
1710240,Ko'kdala,Кукдала,Ko'kdala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.2
1710207,G'uzor tumani,Гузарский район,G'uzor district,90.0,91.8,93.5,95.1,96.6,98.1,100.2,102.3,104.6,107.0
1710212,Dehqonobod tuman,Дехканабадский район,Dehqonobod  district,64.2,65.6,67.1,68.5,70.0,71.4,72.8,74.1,75.5,76.9
1710220,Qamashi tuman,Камашинский район,Qamashi district,117.9,120.7,123.6,126.2,128.5,131.0,133.6,135.4,138.2,141.0
1710224,Qarshi tuman,Каршинский район,Qarshi district,108.2,110.9,113.9,116.5,119.0,121.8,124.5,127.1,130.5,133.5
1710229,Koson tuman,Касанский район,Koson district,124.0,126.6,129.2,131.8,134.7,137.4,140.4,143.2,146.6,150.0
1710232,Kitob tuman,Китабский район,Kitob district,115.3,117.9,120.5,123.1,125.0,127.5,129.6,131.0,133.3,135.7
1710233,Mirishkor tuman,Миришкорский район,Mirishkor district,52.2,53.2,54.2,55.2,56.1,57.1,58.3,59.5,60.8,62.1
1710234,Muborak tumani,Мубарекский район,Muborak district,38.6,39.1,39.7,40.6,41.2,42.0,42.9,43.7,44.6,45.4
1710235,Nishon tumani,Нишанский  район,Nishon district,65.4,67.0,68.8,70.5,72.4,74.2,76.1,77.6,79.6,81.4
1710237,Kasbi tumani,Касбийский  район,Kasbi district,85.7,87.6,89.3,90.8,92.3,94.0,95.9,97.9,99.9,102.1
1710242,Chiroqchi tumani,Чиракчинский район,Chiroqchi  district,173.3,178.1,183.1,188.0,192.3,197.0,201.8,206.3,212.1,128.8
1710245,Shahrisabz tumani,Шахрисабзский район,Shahrisabz district,159.9,162.7,166.2,168.9,105.5,107.3,109.1,110.0,111.9,113.6
1710250,Yakkabog' tumani,Яккабагский район,Yakkabog' district,114.6,117.0,119.8,122.4,124.7,127.4,130.0,131.5,133.7,136.4
1712,Navoiy viloyati,Навоийская область,Navoi region,444.0,450.0,457.3,464.9,472.5,482.7,491.4,499.8,509.8,520.7
1712401,Navoiy shahar,Город Навои,Navoiy city,65.6,65.4,65.5,65.9,66.8,67.3,71.5,73.0,75.0,77.9
1712408,Zarafshon shahar,Город Зарафшан,Zarafshon city,34.4,35.1,36.2,37.3,38.3,39.1,39.8,40.6,40.8,41.3
1712412,G'ozg'on shahar,Город Газган,G'ozg'on city,0.0,0.0,0.0,0.0,0.0,0.0,3.3,4.1,4.2,4.2
1712211,Konimex tumani,Канимехский  район,Konimex  district,14.4,14.4,14.3,14.4,14.4,16.5,16.8,17.1,17.4,17.7
1712216,Qiziltepa tumani,Кызылтепинский район,Qiziltepa district,68.4,69.5,70.7,71.9,72.8,73.9,75.1,76.1,77.4,78.7
1712230,Navbahor shahar,Город Навбахор,Navbahor city,50.4,51.4,52.2,53.1,53.8,54.7,55.7,56.6,57.6,58.6
1712234,Karmana tumani,Карманинский район,Karmana district,55.3,57.0,58.8,60.5,62.2,64.5,63.3,64.7,66.7,68.4
1712238,Nurota tumani,Нуратинский район,Nurota district,41.3,41.8,42.4,42.8,43.5,44.2,41.5,41.4,42.1,42.8
1712244,Tomdi tumani,Тамдынский район,Tomdi district,7.4,7.2,7.2,7.2,7.1,7.1,7.3,7.4,7.6,7.7
1712248,Uchquduq tumani,Учкудукский район,Uchquduq district,17.1,17.2,17.6,18.0,18.5,18.6,18.7,19.0,19.4,19.9
1712251,Xatirchi tumani,Хатырчинский район,Xatirchi district,89.7,91.0,92.4,93.8,95.1,96.8,98.4,99.8,101.6,103.5
1714,Namangan viloyati,Наманганская область,Namangan region,1236.4,1260.5,1283.9,1307.5,1330.1,1355.6,1383.5,1410.9,1442.0,1474.3
1714401,Namangan shahar,Город Наманган,Namangan city,232.2,236.3,239.8,287.6,292.0,297.5,304.0,312.9,320.9,329.2
1714204,Mingbuloq tumani,Мингбулакский район,Mingbuloq  district,55.2,56.3,57.4,58.3,59.3,60.6,61.8,63.1,64.5,65.8
1714207,Kosonsoy tumani,Касансайский район,Kosonsoy district,90.7,92.5,94.3,96.3,98.0,99.9,102.1,104.4,106.7,109.2
1714212,Namangan tumani,Наманганский район,Namangan district,104.1,106.6,109.1,81.9,83.6,85.6,87.4,88.0,89.9,92.0
1714216,Norin tumani,Нарынский район,Norin district,72.5,73.8,74.9,76.0,77.3,78.7,80.2,81.5,83.1,84.7
1714219,Pop tumani,Папский район,Pop district,98.1,100.0,101.8,103.5,105.3,107.0,108.9,110.8,112.9,115.0
1714224,To'raqo'rg'on tumani,Туракурганский район,To'raqo'rg'on district,98.5,100.7,102.9,105.1,107.2,109.3,111.6,112.8,115.4,118.4
1714229,Uychi tumani,Уйчинский район,Uychi district,103.6,106.0,108.2,100.0,101.8,103.9,106.2,108.4,111.1,113.6
1714234,Uchqo'rg'on tumani,Учкурганский район,Uchqo'rg'on district,76.9,78.2,79.6,81.1,82.5,84.0,85.7,87.1,88.9,90.6
1714236,Chortoq tumani,Чартакский район,Chortoq  district,89.6,91.3,93.0,93.7,95.4,97.2,99.1,101.0,102.9,104.9
1714237,Chust tumani,Чустский район,Chust district,116.9,118.9,121.1,123.0,124.9,127.1,129.5,131.6,134.2,136.7
1714242,Yangiqo'rg'on tumani,Янгикурганский район,Yangiqo'rg'on district,98.1,99.9,101.8,101.0,102.8,104.8,107.0,109.3,111.5,114.2
1718,Samarqand viloyati,Самаркандская область,Samarkand region,1720.3,1753.2,1786.6,1819.5,1852.1,1889.8,1927.7,1962.0,2002.8,2045.0
1718401,Samarqand shahar,Город Самарканд,Samarqand city,264.3,266.1,268.7,270.8,273.6,277.8,281.9,284.6,289.6,295.2
1718406,Kattaqo'rg'on shahar,Город  Каттакурган,Kattaqo'rg'on city,41.3,41.9,42.5,43.2,43.6,44.1,44.9,45.4,46.0,46.7
